#EDL	Date	26.3.2019	Local Time	 3:23:35		
Rate (Hz)	Main array								Hub interface
128	element_1	element_2	element_3	element_4	element_5	element_6	element_7	element_8	element_1
Time	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Digital Outputs
s	m	m	m	m	m	m	m	m	
02:51:35.406	-0.00040304	-0.00197128	-0.00084227	-0.00165445	-0.00137974	-0.00124920	-0.00176788	-0.00157198	0
02:51:35.414	-0.00038046	-0.00191374	-0.00084227	-0.00168566	-0.00147686	-0.00122681	-0.00172904	-0.00157198	0
02:51:35.422	-0.00038046	-0.00191374	-0.00084227	-0.00171687	-0.00144449	-0.00122681	-0.00170962	-0.00159675	0
02:51:35.430	-0.00040304	-0.00188497	-0.00087467	-0.00174808	-0.00141212	-0.00122681	-0.00172904	-0.00157198	0
02:51:35.438	-0.00044819	-0.00188497	-0.00084227	-0.00174808	-0.00141212	-0.00120442	-0.00170962	-0.00162151	0
02:51:35.445	-0.00042562	-0.00188497	-0.00084227	-0.00181050	-0.00141212	-0.00115963	-0.00169019	-0.00159675	0
02:51:35.453	-0.00044819	-0.00185620	-0.00084227	-0.00181050	-0.00141212	-0.00118202	-0.00167077	-0.00159675	0
02:51:35.461	-0.00049335	-0.00185620	-0.00090706	-0.00184171	-0.00141212	-0.00115963	-0.00169019	-0.00164628	0
02:51:35.469	-0.00051592	-0.00179866	-0.00087467	-0.00190413	-0.00144449	-0.00113724	-0.00167077	-0.00164628	0
02:51:35.477	-0.00051592	-0.00182743	-0.00084227	-0.00187292	-0.00141212	-0.00111484	-0.00165135	-0.00164628	0
02:51:35.484	-0.00056108	-0.00179866	-0.00087467	-0.00187292	-0.00144449	-0.00109245	-0.00165135	-0.00162151	0
02:51:35.492	-0.00058366	-0.00179866	-0.00087467	-0.00190413	-0.00141212	-0.00107005	-0.00163193	-0.00162151	0
02:51:35.500	-0.00058366	-0.00182743	-0.00093945	-0.00190413	-0.00141212	-0.00107005	-0.00163193	-0.00167105	0
02:51:35.508	-0.00065139	-0.00179866	-0.00090706	-0.00196655	-0.00144449	-0.00104766	-0.00161250	-0.00164628	0
02:51:35.516	-0.00067396	-0.00176989	-0.00097185	-0.00196655	-0.00144449	-0.00100287	-0.00161250	-0.00164628	0
02:51:35.523	-0.00071912	-0.00179866	-0.00097185	-0.00199776	-0.00144449	-0.00100287	-0.00163193	-0.00169582	0
02:51:35.531	-0.00071912	-0.00176989	-0.00103664	-0.00199776	-0.00147686	-0.00098048	-0.00161250	-0.00164628	0
02:51:35.539	-0.00076427	-0.00176989	-0.00103664	-0.00196655	-0.00147686	-0.00095809	-0.00163193	-0.00167105	0
02:51:35.547	-0.00078685	-0.00179866	-0.00103664	-0.00199776	-0.00147686	-0.00095809	-0.00161250	-0.00172059	0
02:51:35.555	-0.00080943	-0.00179866	-0.00106903	-0.00202897	-0.00150924	-0.00091330	-0.00163193	-0.00172059	0
02:51:35.563	-0.00078685	-0.00176989	-0.00106903	-0.00202897	-0.00150924	-0.00089090	-0.00163193	-0.00169582	0
02:51:35.570	-0.00083200	-0.00179866	-0.00110142	-0.00206018	-0.00150924	-0.00089090	-0.00163193	-0.00167105	0
02:51:35.578	-0.00083200	-0.00176989	-0.00110142	-0.00206018	-0.00154161	-0.00089090	-0.00165135	-0.00174535	0
02:51:35.586	-0.00087716	-0.00176989	-0.00110142	-0.00212260	-0.00160636	-0.00084611	-0.00167077	-0.00172059	0
02:51:35.594	-0.00087716	-0.00179866	-0.00113382	-0.00212260	-0.00157398	-0.00084611	-0.00167077	-0.00172059	0
02:51:35.602	-0.00092231	-0.00176989	-0.00106903	-0.00209139	-0.00163873	-0.00084611	-0.00167077	-0.00172059	0
02:51:35.609	-0.00089974	-0.00176989	-0.00106903	-0.00212260	-0.00160636	-0.00080133	-0.00169019	-0.00169582	0
02:51:35.617	-0.00094489	-0.00174112	-0.00106903	-0.00209139	-0.00160636	-0.00080133	-0.00167077	-0.00167105	0
02:51:35.625	-0.00096747	-0.00171235	-0.00106903	-0.00215381	-0.00170348	-0.00080133	-0.00169019	-0.00169582	0
02:51:35.633	-0.00094489	-0.00171235	-0.00110142	-0.00215381	-0.00170348	-0.00080133	-0.00167077	-0.00169582	0
02:51:35.641	-0.00099004	-0.00168358	-0.00103664	-0.00212260	-0.00173585	-0.00075654	-0.00167077	-0.00172059	0
02:51:35.648	-0.00099004	-0.00162604	-0.00106903	-0.00215381	-0.00170348	-0.00073414	-0.00165135	-0.00167105	0
02:51:35.656	-0.00101262	-0.00162604	-0.00106903	-0.00215381	-0.00173585	-0.00068935	-0.00167077	-0.00167105	0
02:51:35.664	-0.00105778	-0.00162604	-0.00106903	-0.00212260	-0.00176822	-0.00071175	-0.00161250	-0.00164628	0
02:51:35.672	-0.00108035	-0.00156850	-0.00110142	-0.00212260	-0.00180060	-0.00066696	-0.00161250	-0.00167105	0
02:51:35.680	-0.00110293	-0.00156850	-0.00113382	-0.00206018	-0.00180060	-0.00066696	-0.00159308	-0.00164628	0
02:51:35.688	-0.00112551	-0.00156850	-0.00106903	-0.00212260	-0.00183297	-0.00066696	-0.00157366	-0.00164628	0
02:51:35.695	-0.00112551	-0.00151096	-0.00110142	-0.00209139	-0.00180060	-0.00066696	-0.00153481	-0.00162151	0
02:51:35.703	-0.00119324	-0.00153973	-0.00110142	-0.00206018	-0.00183297	-0.00064457	-0.00151539	-0.00164628	0
02:51:35.711	-0.00119324	-0.00148218	-0.00113382	-0.00206018	-0.00186534	-0.00059978	-0.00149597	-0.00164628	0
02:51:35.719	-0.00121582	-0.00148218	-0.00110142	-0.00206018	-0.00186534	-0.00064457	-0.00147655	-0.00162151	0
02:51:35.727	-0.00123839	-0.00145341	-0.00116621	-0.00199776	-0.00186534	-0.00059978	-0.00143770	-0.00159675	0
02:51:35.734	-0.00126097	-0.00142464	-0.00113382	-0.00196655	-0.00180060	-0.00059978	-0.00143770	-0.00162151	0
02:51:35.742	-0.00130613	-0.00139587	-0.00113382	-0.00193534	-0.00186534	-0.00064457	-0.00141828	-0.00162151	0
02:51:35.750	-0.00126097	-0.00139587	-0.00116621	-0.00193534	-0.00186534	-0.00059978	-0.00137944	-0.00159675	0
02:51:35.758	-0.00130613	-0.00136710	-0.00119861	-0.00190413	-0.00183297	-0.00059978	-0.00136001	-0.00157198	0
02:51:35.766	-0.00132870	-0.00133833	-0.00116621	-0.00190413	-0.00186534	-0.00062217	-0.00136001	-0.00159675	0
02:51:35.773	-0.00135128	-0.00130956	-0.00119861	-0.00190413	-0.00183297	-0.00062217	-0.00134059	-0.00157198	0
02:51:35.781	-0.00132870	-0.00130956	-0.00119861	-0.00193534	-0.00186534	-0.00064457	-0.00132117	-0.00157198	0
02:51:35.789	-0.00132870	-0.00128079	-0.00119861	-0.00187292	-0.00183297	-0.00066696	-0.00130175	-0.00157198	0
02:51:35.797	-0.00135128	-0.00122325	-0.00123100	-0.00184171	-0.00189772	-0.00068935	-0.00128233	-0.00154721	0
02:51:35.805	-0.00137386	-0.00119448	-0.00123100	-0.00184171	-0.00186534	-0.00068935	-0.00126290	-0.00152244	0
02:51:35.813	-0.00137386	-0.00116571	-0.00126339	-0.00184171	-0.00189772	-0.00068935	-0.00122406	-0.00152244	0
02:51:35.820	-0.00139643	-0.00116571	-0.00123100	-0.00181050	-0.00186534	-0.00071175	-0.00122406	-0.00152244	0
02:51:35.828	-0.00144159	-0.00110817	-0.00126339	-0.00177929	-0.00189772	-0.00073414	-0.00120464	-0.00149768	0
02:51:35.836	-0.00144159	-0.00107939	-0.00129579	-0.00177929	-0.00189772	-0.00075654	-0.00118521	-0.00149768	0
02:51:35.844	-0.00144159	-0.00105062	-0.00126339	-0.00177929	-0.00189772	-0.00075654	-0.00118521	-0.00144814	0
02:51:35.852	-0.00146417	-0.00102185	-0.00126339	-0.00174808	-0.00189772	-0.00077893	-0.00112695	-0.00142337	0
02:51:35.859	-0.00148674	-0.00099308	-0.00132818	-0.00181050	-0.00189772	-0.00080133	-0.00108810	-0.00144814	0
02:51:35.867	-0.00153190	-0.00096431	-0.00129579	-0.00174808	-0.00196246	-0.00082372	-0.00106868	-0.00139860	0
02:51:35.875	-0.00153190	-0.00099308	-0.00139297	-0.00171687	-0.00189772	-0.00086851	-0.00104926	-0.00137384	0
02:51:35.883	-0.00157705	-0.00093554	-0.00139297	-0.00177929	-0.00189772	-0.00084611	-0.00101041	-0.00132430	0
02:51:35.891	-0.00157705	-0.00090677	-0.00139297	-0.00177929	-0.00193009	-0.00089090	-0.00097157	-0.00129953	0
02:51:35.898	-0.00157705	-0.00090677	-0.00145775	-0.00174808	-0.00193009	-0.00089090	-0.00095215	-0.00132430	0
02:51:35.906	-0.00159963	-0.00087800	-0.00149015	-0.00177929	-0.00189772	-0.00091330	-0.00095215	-0.00127477	0
02:51:35.914	-0.00159963	-0.00082045	-0.00152254	-0.00177929	-0.00186534	-0.00093569	-0.00089388	-0.00125000	0
02:51:35.922	-0.00162221	-0.00082045	-0.00155493	-0.00174808	-0.00186534	-0.00095809	-0.00087446	-0.00125000	0
02:51:35.930	-0.00166736	-0.00082045	-0.00158732	-0.00174808	-0.00180060	-0.00098048	-0.00083561	-0.00122523	0
02:51:35.938	-0.00166736	-0.00076291	-0.00165211	-0.00177929	-0.00183297	-0.00095809	-0.00081619	-0.00117569	0
02:51:35.945	-0.00166736	-0.00076291	-0.00171690	-0.00181050	-0.00176822	-0.00098048	-0.00081619	-0.00120046	0
02:51:35.953	-0.00166736	-0.00079168	-0.00171690	-0.00177929	-0.00176822	-0.00102527	-0.00079677	-0.00120046	0
02:51:35.961	-0.00168994	-0.00070537	-0.00171690	-0.00177929	-0.00170348	-0.00102527	-0.00077735	-0.00115093	0
02:51:35.969	-0.00166736	-0.00076291	-0.00168450	-0.00177929	-0.00170348	-0.00107005	-0.00075792	-0.00115093	0
02:51:35.977	-0.00168994	-0.00067660	-0.00168450	-0.00174808	-0.00170348	-0.00102527	-0.00073850	-0.00117569	0
02:51:35.984	-0.00166736	-0.00064782	-0.00168450	-0.00177929	-0.00167110	-0.00109245	-0.00073850	-0.00115093	0
02:51:35.992	-0.00166736	-0.00064782	-0.00171690	-0.00181050	-0.00163873	-0.00109245	-0.00071908	-0.00110139	0
02:51:36.000	-0.00168994	-0.00064782	-0.00171690	-0.00181050	-0.00160636	-0.00109245	-0.00071908	-0.00112616	0
02:51:36.008	-0.00168994	-0.00067660	-0.00161972	-0.00177929	-0.00160636	-0.00111484	-0.00069966	-0.00117569	0
02:51:36.016	-0.00168994	-0.00064782	-0.00158732	-0.00174808	-0.00157398	-0.00113724	-0.00066081	-0.00110139	0
02:51:36.023	-0.00168994	-0.00061905	-0.00155493	-0.00174808	-0.00154161	-0.00113724	-0.00064139	-0.00110139	0
02:51:36.031	-0.00171251	-0.00059028	-0.00155493	-0.00171687	-0.00154161	-0.00115963	-0.00064139	-0.00110139	0
02:51:36.039	-0.00175767	-0.00064782	-0.00152254	-0.00168566	-0.00150924	-0.00118202	-0.00062197	-0.00110139	0
02:51:36.047	-0.00173509	-0.00059028	-0.00149015	-0.00165445	-0.00150924	-0.00120442	-0.00060255	-0.00107662	0
02:51:36.055	-0.00175767	-0.00067660	-0.00152254	-0.00165445	-0.00147686	-0.00122681	-0.00062197	-0.00105186	0
02:51:36.063	-0.00175767	-0.00061905	-0.00149015	-0.00162324	-0.00141212	-0.00122681	-0.00062197	-0.00107662	0
02:51:36.070	-0.00180282	-0.00064782	-0.00149015	-0.00162324	-0.00141212	-0.00127160	-0.00058312	-0.00100232	0
